episode,controller_type,traffic_scale,total_reward,steps,epsilon,loss_last
1,coordinated_marl,1.00,1573.9188,277,0.9950,0.033457
2,coordinated_marl,1.00,1656.8731,277,0.9900,0.032704
3,coordinated_marl,1.00,1548.7508,276,0.9851,0.059605
4,coordinated_marl,1.00,1588.9881,277,0.9801,0.397360
5,coordinated_marl,1.00,1545.0305,277,0.9752,0.097469
6,coordinated_marl,1.00,1559.2396,277,0.9704,0.112158
7,coordinated_marl,1.00,1620.8452,277,0.9655,0.101462
8,coordinated_marl,1.00,1551.8542,277,0.9607,0.130573
9,coordinated_marl,1.00,1394.0825,287,0.9559,0.258483
10,coordinated_marl,1.00,1560.3132,277,0.9511,0.191404
11,coordinated_marl,1.00,1602.9384,277,0.9464,0.205957
12,coordinated_marl,1.00,1643.3003,277,0.9416,0.546417
13,coordinated_marl,1.00,1578.1909,277,0.9369,0.248718
14,coordinated_marl,1.00,1585.1699,277,0.9322,0.263968
15,coordinated_marl,1.00,1529.5656,277,0.9276,0.373802
16,coordinated_marl,1.00,1526.5666,277,0.9229,0.291798
17,coordinated_marl,1.00,1521.0330,277,0.9183,0.953017
18,coordinated_marl,1.00,1622.9935,277,0.9137,0.298287
19,coordinated_marl,1.00,1471.6362,277,0.9092,0.704982
20,coordinated_marl,1.00,1582.5724,277,0.9046,0.333316
21,coordinated_marl,1.00,1215.1354,292,0.9001,0.516982
22,coordinated_marl,1.00,1634.3471,277,0.8956,0.653955
23,coordinated_marl,1.00,1703.5971,277,0.8911,0.290384
24,coordinated_marl,1.00,1609.7239,277,0.8867,0.433194
25,coordinated_marl,1.00,1519.6255,277,0.8822,0.552765
26,coordinated_marl,1.00,1549.6185,277,0.8778,3.943633
27,coordinated_marl,1.00,1659.8035,277,0.8734,6.765541
28,coordinated_marl,1.00,1472.1786,281,0.8691,13.978992
29,coordinated_marl,1.00,1593.3002,277,0.8647,0.799008
30,coordinated_marl,1.00,1681.9009,277,0.8604,0.651569
31,coordinated_marl,1.00,1683.2844,276,0.8561,0.673576
32,coordinated_marl,1.00,1612.0349,277,0.8518,0.585160
33,coordinated_marl,1.00,1635.9638,282,0.8475,1.763009
34,coordinated_marl,1.00,1628.1365,277,0.8433,0.924355
35,coordinated_marl,1.00,1565.5874,276,0.8391,1.045923
36,coordinated_marl,1.00,1570.4702,277,0.8349,1.125998
37,coordinated_marl,1.00,1547.9123,277,0.8307,1.277074
38,coordinated_marl,1.00,1513.4449,287,0.8266,1.180538
39,coordinated_marl,1.00,1704.4901,277,0.8224,0.797567
40,coordinated_marl,1.00,1906.7378,277,0.8183,4.482522
41,coordinated_marl,1.00,1520.9493,277,0.8142,0.898062
42,coordinated_marl,1.00,1587.7498,277,0.8102,4.568180
43,coordinated_marl,1.00,1568.4836,276,0.8061,0.893117
44,coordinated_marl,1.00,1789.3652,277,0.8021,1.224310
45,coordinated_marl,1.00,1676.9319,277,0.7981,1.678680
46,coordinated_marl,1.00,1555.5049,277,0.7941,4.533075
47,coordinated_marl,1.00,1544.6889,277,0.7901,1.584539
48,coordinated_marl,1.00,1558.8929,277,0.7862,0.904007
49,coordinated_marl,1.00,1699.4958,277,0.7822,0.810665
50,coordinated_marl,1.00,1549.9142,277,0.7783,0.952551
51,coordinated_marl,1.00,1421.8986,282,0.7744,0.809894
52,coordinated_marl,1.00,1536.2537,277,0.7705,0.818574
53,coordinated_marl,1.00,1597.6100,277,0.7667,0.864760
54,coordinated_marl,1.00,1751.5672,277,0.7629,0.834754
55,coordinated_marl,1.00,1560.2856,277,0.7590,0.988542
56,coordinated_marl,1.00,1535.6630,276,0.7553,0.510068
57,coordinated_marl,1.00,1262.4185,292,0.7515,1.619010
58,coordinated_marl,1.00,1513.4464,277,0.7477,1.489404
59,coordinated_marl,1.00,1496.5045,277,0.7440,1.656940
60,coordinated_marl,1.00,1721.6867,277,0.7403,0.592381
61,coordinated_marl,1.00,1643.7223,277,0.7366,29.556112
62,coordinated_marl,1.00,1633.2616,277,0.7329,18.832415
63,coordinated_marl,1.00,1476.2641,277,0.7292,0.651347
64,coordinated_marl,1.00,1518.0747,276,0.7256,2.740132
65,coordinated_marl,1.00,1601.3437,277,0.7219,2.675702
66,coordinated_marl,1.00,1573.5452,276,0.7183,1.063231
67,coordinated_marl,1.00,1625.6482,277,0.7147,1.059616
68,coordinated_marl,1.00,1544.3401,277,0.7112,1.225415
69,coordinated_marl,1.00,1310.7620,292,0.7076,1.203479
70,coordinated_marl,1.00,1497.1061,277,0.7041,1.907003
71,coordinated_marl,1.00,1695.6591,277,0.7005,3.622367
72,coordinated_marl,1.00,1569.0984,277,0.6970,4.677049
73,coordinated_marl,1.00,1595.2753,277,0.6936,1.321525
74,coordinated_marl,1.00,1504.0889,277,0.6901,0.890473
75,coordinated_marl,1.00,1779.6946,277,0.6866,2.269315
76,coordinated_marl,1.00,1665.9172,277,0.6832,0.943588
77,coordinated_marl,1.00,1522.8577,277,0.6798,0.917925
78,coordinated_marl,1.00,1638.4643,276,0.6764,0.941774
79,coordinated_marl,1.00,1619.0946,288,0.6730,4.034077
80,coordinated_marl,1.00,1671.9499,277,0.6696,3.534903
