episode,reward,loss,epsilon,avg_td_error,runtime_seconds
1,-1044.3384,0.053666,0.9950,0.218953,315.7571
2,-909.4534,0.055541,0.9900,0.200061,249.7365
3,-1005.7397,0.123583,0.9851,0.283177,252.3580
4,-892.7663,0.065317,0.9801,0.210405,327.2634
5,-893.4054,0.073448,0.9752,0.226819,358.2504
6,-1039.2177,0.156719,0.9704,0.373087,338.2073
7,-895.0454,0.159918,0.9655,0.336442,365.6917
8,-818.3530,0.277873,0.9607,0.426101,297.8527
9,-819.8837,0.125889,0.9559,0.356425,236.7128
10,-894.7042,0.339933,0.9511,0.458172,244.4118
11,-886.4873,0.402511,0.9464,0.469223,241.6439
12,-952.3127,0.300365,0.9416,0.399753,255.7437
13,-929.4548,0.231647,0.9369,0.540765,245.1838
14,-817.1462,0.434817,0.9322,0.475995,234.9435
15,-869.2685,0.997162,0.9276,0.850581,243.6364
16,-1126.8626,1.261777,0.9229,0.707090,289.2190
17,-976.8039,0.452202,0.9183,0.737800,259.6072
18,-890.9887,0.584187,0.9137,0.819866,247.0931
19,-892.3716,0.923692,0.9092,0.866964,248.4861
20,-893.6892,0.603171,0.9046,0.580558,249.3795
21,-913.4829,1.514239,0.9001,0.992904,250.9711
22,-823.6565,0.842525,0.8956,0.790155,234.9164
23,-979.0347,1.730077,0.8911,0.940105,264.0986
24,-965.1435,0.220508,0.8867,0.485219,259.6922
25,-989.8679,0.886392,0.8822,0.712741,260.8470
26,-892.2015,2.107571,0.8778,1.128452,248.6145
27,-1078.0266,0.929099,0.8734,0.787995,264.9156
28,-874.7560,1.032364,0.8691,0.893506,245.8290
29,-930.6491,1.239818,0.8647,0.822502,256.5748
30,-1058.0345,2.206449,0.8604,1.112947,2673.5995
31,-891.8130,1.341608,0.8561,0.854555,224.3939
32,-893.6015,0.795673,0.8518,0.882664,510.6995
33,-950.6117,0.590042,0.8475,0.882919,1408.2002
34,-1038.2508,2.108806,0.8433,1.023209,236.0131
35,-929.1963,2.054321,0.8391,0.991963,226.8818
36,-888.6511,1.351101,0.8349,1.035312,227.9504
37,-972.1703,3.644386,0.8307,1.453224,613.4748
38,-907.2617,2.527279,0.8266,1.172950,666.5114
39,-1026.7935,0.603605,0.8224,0.855073,227.5561
40,-889.4228,0.397554,0.8183,0.597367,219.6295
41,-949.6714,1.984328,0.8142,1.240385,229.7073
42,-871.2551,0.445674,0.8102,0.695863,219.8099
43,-892.6392,0.863464,0.8061,0.756543,224.1724
44,-910.4330,0.755717,0.8021,0.833288,230.5899
45,-831.9357,1.542795,0.7981,1.072974,218.1009
46,-835.1500,1.966161,0.7941,1.225743,228.3513
47,-892.9892,1.642534,0.7901,1.021279,236.8295
48,-859.1834,4.327386,0.7862,1.719915,231.7559
49,-984.1231,1.056342,0.7822,0.823201,243.7335
50,-904.4465,2.411507,0.7783,1.079895,227.3802
